file	label	intervaldID	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity	soe
archi-vowels-PSX.wav	áʲˤ	1	0.359	222.33995098850306	688.719	1719.225	2851.118	42.57523039636506	39.55674125583789	25.275968245258607	28.03244989206368	23.04352133019837	35.730167737190726	35.40608158058534	15.430886457383178	43.67462842778935	44.81149806508549	31.45316699268446	52.28205518841634	37.086283364960465	32.823850445636175	50.423624005515805	65.99367543192082	147.29141522184267	3.0184891405271657	14.280773010579285	14.542780504301376	19.531709066166687	6.8450626591743315	19.97519512320216	-1.1368696372961367	13.358331072401029	-8.607426760626986	6.5883450628288855	10.850777982153176	23.871	11.402082156871387	8.662405998147504	7.223255950215435	6.909056539481289	82.4167619148896	0.09739273177183072
 archi-vowels-PSX.wav	áʲˤ	1	0.364	223.11853615453046	706.013	1773.11	2905.711	42.28684810092217	39.11612002462837	33.470027207807675	32.11170052277501	25.621284276795958	37.43775445278142	39.52305779356522	16.58498416929377	43.336721910124226	44.087180306046406	40.42428250223877	56.51221212660136	39.52305779356522	34.8065959762349	50.684759312977235	68.22689190346925	153.13130249435685	3.1707280762937984	5.646092816820698	10.175147578147161	16.665563824126213	4.849093648140752	22.938073624271453	-0.7504583959221804	3.6628978038076383	-13.175490216477137	3.8136641165590035	8.530125933889323	23.645	15.275272862375918	12.401557120027437	10.632344477661613	9.603662425323847	83.37086649914234	0.0977055504851869
 archi-vowels-PSX.wav	áʲˤ	1	0.369	222.62187962294743	714.027	1815.699	2971.624	41.464396186136966	36.668990869069646	37.89313901725569	32.76194797215469	28.74995960918521	38.74702378535966	41.899656548706815	17.03240404004042	42.48174762856457	41.46009357727655	45.33245509126697	57.21727357009584	42.388962267710646	35.78636792282928	50.7037947590341	69.95272659920204	159.83480562418876	4.7954053170673205	-1.2241481481860461	8.70244821398228	12.714436576951755	2.7173724007773075	24.867252508666397	1.0216540512880172	-3.8723615139904197	-14.735525941531272	0.09278536085392375	6.6953797057352915	24.187	16.762468176671693	10.019688217925184	8.366477285734762	7.609620206636194	83.58552697849298	0.09635421146354337
 archi-vowels-PSX.wav	áʲˤ	1	0.374	219.97225859240925	725.101	1854.305	3022.847	40.66182543671549	34.863540379808036	34.29471142568718	27.617416987078446	29.49525665604317	41.308914948938195	42.51201634392	17.449687057316986	41.62139077302364	39.3338595947171	42.93708893730437	52.22360790644182	43.04435032897726	38.34955707596844	50.50061288582761	71.25805098527556	164.29169395907394	5.798285056907453	0.5688289541208533	13.044408449637043	11.166568780672318	-0.6470895122227063	25.062329286603017	2.287531178306544	-3.6032293425872695	-10.60221713341818	-1.422959555953618	3.2718336970552	22.616	16.054082567441604	8.36893883305641	6.761219541248222	6.050055276746469	83.19612333015453	0.06697478042198729
 archi-vowels-PSX.wav	áʲˤ	1	0.379	216.3468562496427	789.705	1884.98	3044.126	40.23132925706639	38.66423560449539	32.00681104799571	22.003846100089167	26.994540952832477	37.47212487065042	42.01868346607182	21.301244300156025	41.02314597525337	42.22537859958579	47.57203337693138	47.57203337693138	42.01868346607182	36.24441056089041	50.59009430983828	72.09707432924	165.19336772905388	1.5670936525710033	6.657424556499677	18.227483156977225	13.236788304233915	2.7592043864159734	20.717439165915795	-1.2022326243324173	-5.3466547773455915	-6.548887401678009	-0.9955374908184496	4.778735414362963	21.136	14.935897196866632	7.2643113364784515	5.65555425257517	5.323461768650882	82.53971758221519	0.06961350104014044
 archi-vowels-PSX.wav	áʲˤ	1	0.384	212.84276056853196	830.613	1880.576	3070.35	40.09472902013469	40.20405810413379	27.84307240070329	25.597516802364343	27.914950667789387	36.1320151320333	44.13894133988904	21.23066453734678	40.79608567772584	43.30171168835827	51.8377305471703	51.8377305471703	44.13894133988904	35.387214137554444	50.45109664109985	71.31132708479103	166.64344881098597	-0.10932908399909991	12.360985703430504	14.49721221777035	12.179778352345306	3.9627138881013906	22.908276802542257	-2.505626010632426	-8.536018858812035	-11.041644869444461	-3.3428556621631955	5.408871540171397	22.502	17.469563714330352	6.304426889395003	4.9422383353814014	4.0400500420249585	82.01652768613648	0.07339069966466975
 archi-vowels-PSX.wav	áʲˤ	1	0.389	209.6840044627429	824.304	1873.926	3088.092	39.603122878118654	39.88218730271671	27.439394815400686	26.367290128354696	28.225898837149117	36.66493803309992	44.43180498538577	19.846305841899802	40.29305699281182	42.92448859105198	52.418019577501546	52.59432495348615	44.43180498538577	35.432986389609226	50.043895943909604	70.48328306580524	167.30400383113107	-0.2790644245980545	12.442792487316023	13.235832749763958	11.377224040969537	2.938184845018732	24.585499143485965	-2.6314315982401624	-9.493530986449564	-12.30126796067433	-4.138747992573947	4.860070603202594	21.254	17.515789674904013	9.726000103010167	8.3431172054878	7.8195952993925335	81.73474447676733	0.07405848156969858
 archi-vowels-PSX.wav	áʲˤ	1	0.394	206.84052365437586	812.592	1866.941	3106.38	39.93430632626496	38.95155875781425	28.301269309852508	26.981435551447266	28.471185346248234	35.22907367116089	44.51399049481856	22.4811017862122	40.622812222394586	41.98858502252932	53.110849207842136	53.110849207842136	44.51399049481856	33.369958018701375	49.63907723672155	69.69882547518162	168.12817903702265	0.9827475684507121	10.65028944796174	12.952870774817693	11.463120980016726	4.705232655104069	22.032888708606357	-1.3657728001347351	-11.122264185312815	-12.48803698544755	-3.8911782724239714	7.252854203693211	21.91	17.099005356469952	11.344756345054046	10.11926459979233	9.394000456566536	81.43894105760629	0.07435111824094562
 archi-vowels-PSX.wav	áʲˤ	1	0.399	203.82372135971835	817.726	1869.777	3124.276	39.54720832840766	39.32702552882181	26.590754084945953	26.5493835641412	26.57465599506566	35.17591218871069	42.77888950229649	19.77365415234306	40.20765744735726	42.22651563561108	52.80900639547188	52.80900639547188	42.77888950229649	33.23123462863606	49.32057577896691	69.33405793300017	168.82577228687268	0.22018279958585651	12.736271443875854	12.997824764266465	12.972552333342005	4.371296139696973	23.005235349953427	-2.018858188253816	-10.582490759860804	-12.60134894811462	-2.571232054939223	6.976422818721204	20.942	18.472291771521366	10.14573667929411	8.721589494691441	8.307105827968972	80.85342611192254	0.07020546079658288
 archi-vowels-PSX.wav	áʲˤ	1	0.404	200.24553405037554	838.606	1892.194	3150.15	38.7171402072353	39.25798043794164	27.400544182094436	22.57291496741049	24.07121822563135	29.55236614515853	40.613309605858674	14.567607996610395	39.324576321969126	41.900961720843036	48.74036288646795	49.15888008583302	40.613309605858674	28.03608549060283	49.0303320928063	69.76808732404926	170.11984985599312	-0.5408402307063369	11.857436255847205	16.144225239824813	14.645921981603955	9.164774062076773	26.04570160924828	-2.57638539887391	-6.839401165624913	-9.834303763863893	-1.2887332838895489	11.288490831366296	19.766	22.722509983760197	8.709589144309128	7.3068325043521485	7.086294224275289	79.89055745449042	0.06483661884532704
