file	label	intervaldID	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity	soe
archi-phon-2006-HDK-1-vowels.wav	í	1	5.79	338.083316090301	374.732	2848.292	3962.047	-7.115676318623042	5.403211949157994	7.028777914209169	-10.242291691650065	2.703387838620465	18.423367484930708	-14.88436734960229	-2.5447102318989163	5.065268878688548	-1.1382642490890924	-12.255531027417302	4.9823255401284765	-8.376146733973396	-0.16119410151485147	66.55907522848477	185.47197338153643	350.24963161515984	-12.518888267781037	-1.625565965051175	3.1266153730270227	-9.819064157243506	-25.53904380355375	-12.339657117703373	6.203533127777641	11.11726677832821	0.08294333856007174	13.441415612661945	5.2264629802034	6.882	7.939766493739602	9.021841457201791	8.917674963451155	8.782471011443329	60.685016108250736	0.006423904767604255
 archi-phon-2006-HDK-1-vowels.wav	í	1	5.833	255.28871749009164	460.256	2944.63	3846.703	36.67031797176033	21.071527315744827	25.827792218842127	13.577478501372234	25.00193872749945	25.584834638807333	-2.222249934166707	6.887528057320916	39.88762753507971	33.16093424861242	15.107785969615664	33.16093424861242	18.06659018642174	15.096593166538268	49.64881492633507	168.58770269332805	282.1065486358098	15.598790656015506	-4.7562649030973	23.0928394703881	11.668379244260883	11.085483332953	-9.109777991487622	6.726693286467288	18.05314827899676	6.726693286467288	21.821037348657967	24.79103436854144	19.512	11.343715994019723	11.905172328306579	11.901436643711643	10.58974527283755	70.0703307090747	0.05270728606506905
 archi-phon-2006-HDK-1-vowels.wav	í	1	5.876	243.1545546589096	484.355	2947.996	3948.563	40.508963509605785	18.120720496757947	31.07843753605114	18.07687342415673	37.4880444426062	36.77587153051288	1.6072362221607148	7.438883004162767	43.06527079346352	38.36351377955283	22.474507092146613	38.36351377955283	31.65394207147759	25.770492076582514	48.29733436376966	164.65199845166035	288.80576382320805	22.388243012847838	-12.957717039293193	22.432090085449055	3.020919066999582	3.7330919790929045	-5.831646782002052	4.701757013910687	15.88900668740622	4.701757013910687	11.411328721985928	17.294778716881005	25.723	22.390707203921394	21.459737846778175	21.454225140148957	18.47483973308005	73.09688697643223	0.07164643059091778
 archi-phon-2006-HDK-1-vowels.wav	í	1	5.919	238.09572411043476	485.194	3004.858	3880.125	41.982725736289765	19.111145955114957	33.04200678775678	18.606632671308937	35.5746837074662	33.58049763903677	0.1665021521297773	8.804275482519266	44.407580292720226	38.993255977647785	24.884315050203377	38.993255977647785	29.37459826388959	24.620745396610417	47.77962738417808	169.06937913369202	276.37554413795897	22.87157978117481	-13.930860832641827	23.37609306498083	6.408042028823566	8.402228097252994	-8.63777333038949	5.414324315072442	14.108940927444408	5.414324315072442	15.032982028830634	19.78683489610981	21.241	27.144718384575576	25.585553442842016	25.499486293606036	20.89506574161925	73.68048690540515	0.08368425938844311
 archi-phon-2006-HDK-1-vowels.wav	í	1	5.962	225.7504899281245	411.928	2874.446	3377.894	37.4830263524402	29.976461025323466	29.572056494100146	24.035641550534365	42.64345100236905	30.351553708202232	9.04266752581066	1.9638984007939064	40.589857393812856	42.73544827563182	18.903007104534833	42.73544827563182	34.91793250216816	26.95415086948045	49.02050914693623	150.81204567538467	206.62583920099115	7.506565327116732	0.4044045312233209	13.447384801905834	-5.160424649928849	7.131472644237967	7.078769125016754	-2.1455908818189613	23.832441171096985	-2.1455908818189613	5.671924891644693	13.635706524332406	23.683	24.096426142066335	24.272445019730515	24.18633559617486	16.97959160571141	72.88057259908993	0.060965617453339796
archi-phon-2006-HDK-1-vowels.wav	í	2	9.73	287.3477367408568	431.668	2858.413	3480.95	39.40864884908465	35.35817106263204	18.153189149054775	22.22590319253028	45.998548355338116	42.97273534648288	12.885108897908621	27.76265179698779	44.460840593332506	37.844108586125664	4.047614892644351	40.48192855039946	38.128164117764	36.49535533695344	54.20851233806555	169.7841809141668	249.1531898676708	4.0504777864526105	17.204981913577264	17.18274565655437	-6.589899506253467	-3.564086497398229	-14.877542899079168	6.616732007206842	33.79649369348131	3.9789120429330467	6.332676475568505	7.965485256379068	22.537	14.135641961925609	12.392737644922295	12.311812294569101	8.846982470715394	73.28420950014763	0.06322852459856318
 archi-phon-2006-HDK-1-vowels.wav	í	2	9.769	269.3489166047939	477.827	2957.806	3322.196	38.625342608610666	28.76343141941637	19.188687878623433	20.02924833217532	47.94548241533924	37.86018321859208	9.28403698307042	24.560597871041182	41.97564121253802	39.7234650140203	8.244055372574602	39.7234650140203	41.30960451838548	39.80609022392589	50.97734832931393	175.10089187156103	219.66949249818006	9.861911189194295	9.574743540792937	18.596094276435345	-9.320139806728577	0.7651593900185887	-15.276560887970762	2.2521761985177235	31.4794096414457	2.2521761985177235	0.6660366941525453	2.16955098861213	25.364	31.03732490012735	31.361399626848993	30.803931661930672	14.647959408036542	75.4465229152944	0.07543475799432034
 archi-phon-2006-HDK-1-vowels.wav	í	2	9.809	267.8017176964044	458.003	2943.846	3533.422	39.75396291511777	29.64965287962239	27.853833235925794	18.913980869628435	42.83093567084803	30.13452377304548	7.5000945837149775	8.48820756224907	43.40595613397868	38.22018610733262	16.12380221459873	38.22018610733262	35.59129580567826	25.45227602785442	51.00450495106162	172.93583861592072	246.50197622221697	10.104310035495377	1.7958196436965963	20.839982045489332	-3.07697275573026	9.619439142072288	-0.9881129785340921	5.185770026646054	22.096383892733893	5.185770026646054	7.81466032830042	17.953680106124256	23.276	38.089336357507875	35.88998715457629	35.69608742889919	21.589630149618635	74.23597015451962	0.08852531150341825
 archi-phon-2006-HDK-1-vowels.wav	í	2	9.848	253.4274416536274	472.88	3022.369	3518.905	40.44161758661517	23.235679035102653	29.94274328263635	18.340943910275218	38.81235180935033	26.751827204199152	5.139074383486154	2.7092054806293797	43.4092545493409	38.21706243767809	19.9002402782424	38.21706243767809	31.721790532683194	24.812725408336668	49.31630566050094	176.72952885002007	237.36573662831864	17.20593855151252	-6.7070642475336975	22.100673676339955	1.6292657772648411	13.689790382416021	2.429868902856774	5.192192111662813	18.316822159435688	5.192192111662813	11.687464016657707	18.596529141004233	19.992	30.235845511895164	27.534365274219397	27.235522966744576	14.584242287729559	73.27804003819564	0.09452727908804055
 archi-phon-2006-HDK-1-vowels.wav	í	2	9.888	232.19929448525713	518.802	2815.269	3551.662	36.47719819655859	23.609445733432885	28.283605707879886	16.278517303066486	32.39571045712795	30.72022862145306	4.977610058242118	14.770638938933168	38.46248883685106	37.10444750768421	22.437806806899076	37.10444750768421	29.1864183900407	26.25785458616103	48.96188430536841	146.89830403007275	230.7652948682566	12.867752463125704	-4.674159974447001	20.198680893492103	4.081487739430642	5.756969575105529	-9.79302888069105	1.358041329166845	14.666640700785138	1.358041329166845	9.276070446810358	12.204634250690027	23.355	15.256773901481326	15.441772831476753	15.426484991996057	13.250757508453193	69.91292604956138	0.050964483304339774
