file	label	intervaldID	t	f0	F1	F2	F3	H1c	H2c	H4c	A1c	A2c	A3c	H2Ku	H5Ku	H1u	H2u	H4u	A1u	A2u	A3u	B1	B2	B3	H1H2c	H2H4c	H1A1c	H1A2c	H1A3c	H2KH5Ku	H1H2u	H2H4u	H1A1u	H1A2u	H1A3u	CPP	HNR05	HNR15	HNR25	HNR35	intensity	soe
archi-vowels-HDK.wav	á	1	0.4	283.4660421707189	744.269	1494.405	3084.086	48.313718728907084	48.5448795672557	44.783414346572094	32.43201245060603	28.606541791477724	50.750609939452076	33.069079677681195	29.39421281558956	49.987320808443776	57.33647629185925	49.79820876338913	57.09772807986227	45.972115942166326	40.64980970559958	57.97605105290589	67.26402949751326	195.534702178457	-0.23116083834861456	3.761465220683604	15.881706278301053	19.70717693742936	-2.4368912105449922	3.6748668620916334	-7.349155483415473	7.538267528470122	-7.110407271418495	4.01520486627745	9.337511102844196	16.583	5.777606321775005	0.9073058187183759	0.7258282822362995	0.7977793785185917	85.20742059351882	0.11391417218241992
 archi-vowels-HDK.wav	á	1	0.405	276.5181296974204	821.714	1572.669	3126.549	44.41211210058408	46.40444377531807	35.62502995615989	24.48101541763234	25.756374732575747	44.971174926464286	39.47864932687195	31.607332602266073	45.72580889903111	52.75524712839086	43.338901021057595	50.32519391282201	44.517929316255064	37.32571482451378	57.809129647146435	68.64850286078857	198.06420948701665	-1.9923316747339896	10.77941381915818	19.931096682951743	18.655737368008335	-0.5590628258802042	7.8713167246058795	-7.029438229359755	9.416346107333268	-4.599385013790901	1.2078795827760445	8.400094074517327	19.474	7.264851799611992	1.5028491385303053	1.2855832566021257	1.1450080549781747	86.66859799080828	0.10488249255036906
 archi-vowels-HDK.wav	á	1	0.41	272.58277542108846	831.026	1599.093	3136.246	39.683423067535344	46.06987737762693	37.71207036607823	28.54705764337819	28.623894610945065	51.89735395529502	40.324082550776936	33.9899947784019	40.92568410211466	52.00153238987424	45.94917623021003	54.513571535978016	47.36319704854808	44.766570670134335	57.417151702073525	68.96828122265127	197.6871506283505	-6.386454310091587	8.3578070115487	11.136365424157155	11.059528456590279	-12.213930887759673	6.334087772375035	-11.075848287759584	6.052356159664214	-13.587887433863358	-6.437512946433422	-3.840886568019677	23.759	12.761039337973962	5.860639656077355	5.730705725316941	5.201520209264384	87.7055703897765	0.07235684199433824
 archi-vowels-HDK.wav	á	1	0.415	275.4932831034314	843.673	1603.866	3117.642	35.80922328387157	42.87356088825969	39.33811225771674	30.81846336731798	32.89375247175203	52.69397312722794	42.8057674761608	30.567387027181315	37.04627987596084	48.76580097213268	47.87764350742848	56.93108824367306	51.87740886723431	46.161012391817465	57.844552983205254	69.53770766930992	196.55604401902977	-7.064337604388122	3.5354486305429518	4.990759916553586	2.915470812119537	-16.884749843356374	12.238380448979488	-11.719521096171839	0.8881574647042001	-19.884808367712218	-14.831128991273467	-9.114732515856623	24.947	12.539144076507153	10.723068750115804	10.809947402644855	10.701084074621345	88.41282428344401	0.05428342390865073
 archi-vowels-HDK.wav	á	1	0.42	284.88258434912854	879.693	1623.53	3123.407	36.60189774454987	35.52520866805068	41.00243526148976	31.349747859099637	37.751278260532835	55.400994139581385	45.87747220974323	34.7860364651782	37.83375147094282	41.3654484942071	50.236677103653314	57.83214210423257	57.313343158570476	49.687475989802024	59.18484765426904	71.55155215393468	201.00538734887172	1.0766890764991928	-5.477226593439077	5.252149885450237	-1.149380515982962	-18.799096395031512	11.091435744565032	-3.531697023264279	-8.871228609446213	-19.998390633289745	-19.479591687627654	-11.853724518859202	24.875	11.40531572350761	13.19001972188527	13.233462734081765	12.792268604246896	88.80952066089633	0.04420578102965987
 archi-vowels-HDK.wav	á	1	0.425	275.07393588712904	908.047	1647.049	3146.716	34.88605460029325	33.18739455178776	40.152740694035145	28.380002078014794	35.17613631325732	51.88282554940029	48.85357799827973	28.359997927175705	35.96645780218768	38.17216637347938	51.80190517654136	55.41001030503479	55.35944765131613	46.907466048764476	58.21593301286179	71.01228560102888	199.98474228895952	1.698660048505488	-6.965346142247384	6.5060525222784555	-0.29008171296406715	-16.996770949107038	20.493580071104027	-2.2057085712916944	-13.629738803061983	-19.443552502847105	-19.392989849128448	-10.941008246576793	25.155	9.915829291182783	15.920410794649332	13.726770443147132	12.831178183100116	88.90762542182287	0.04753316360773968
 archi-vowels-HDK.wav	á	1	0.43	259.92661960641357	913.457	1701.819	3150.36	38.44788485939387	41.09224167797768	38.74148242472813	28.30723768293556	32.08264234467926	49.00991807631686	50.90263477470173	22.282859653676596	39.385403683635644	45.33240634713903	53.20060635430686	55.4588328690214	51.90776644120288	45.14934842166315	56.467847803644375	70.90312114370947	194.3046784799098	-2.644356818583816	2.3507592532495494	10.140647176458305	6.365242514714609	-10.562033216922991	28.619775121025135	-5.947002663503383	-7.868200007167836	-16.073429185385756	-12.522362757567237	-5.763944738027504	24.278	8.631225424673355	15.661065775347087	11.193257291486214	10.706107329107654	88.77513305298453	0.05810495100695725
 archi-vowels-HDK.wav	á	1	0.435	255.49943187376368	907.117	1775.29	3146.99	38.71282331991371	41.376732434906145	38.52820188796266	29.18334350966519	33.23275244671478	42.3260811027941	51.96380480765295	27.336582632079235	39.611703495269246	45.43415205628343	53.19553944380817	56.03802231796461	51.96380480765295	39.524685274200294	55.90851596554651	73.30865260869108	192.11030309372634	-2.6639091149924354	2.8485305469434863	9.529479810248521	5.480070873198933	-3.613257782880389	24.627222175573714	-5.822448561014184	-7.761387387524742	-16.426318822695364	-12.352101312383702	0.08701822106895207	22.371	11.352713913366783	17.288322373867363	10.88577304986723	10.534770863437888	88.55264645060998	0.03795138643203913
 archi-vowels-HDK.wav	á	1	0.44	257.98304966029684	910.348	1791.019	3097.462	38.041752969266696	41.22832424681074	39.016006643416986	28.780156016458108	32.644642916211886	41.4281693506171	51.202165451681296	30.419254716159635	38.95015380330523	45.336647895831454	53.224891960806	55.58553223498751	51.202165451681296	39.70597862979754	56.22023579466464	74.39812016827506	187.2166984062839	-3.186571277544047	2.212317603393757	9.261596952808588	5.39711005305481	-3.3864163813504007	20.78291073552166	-6.3864940925262275	-7.888244064974543	-16.635378431682284	-12.252011648376069	-0.7558248264923151	24.383	16.470199018159914	21.555325578638524	14.267016979831677	13.674891175412904	88.39008204928135	0.02923711289669973
 archi-vowels-HDK.wav	á	1	0.445	260.8299836188152	914.384	1795.951	3051.816	37.311388540402326	41.38482507676756	40.16833872317723	28.471012743877772	34.11522519250357	41.467609364011324	52.65850592575417	33.54257787789062	38.23283704325098	45.56025916658485	53.96956828328477	55.26971225869546	52.65850592575417	40.63682875312686	56.57981214243213	75.06765755652289	182.93597701940413	-4.073436536365236	1.2164863535903336	8.840375796524555	3.1961633478987537	-4.156220823608997	19.115928047863548	-7.327422123333868	-8.409309116699923	-17.036875215444482	-14.425668882503189	-2.403991709875882	25.023	18.651630505919183	22.878005172021382	17.0019341724984	16.444564179909374	88.34594519167824	0.03964703215994475
