speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	word	filename	status
HDK	í	i	0.180	6100	0.061	563	2765	3345	5.49	15.08	16.38	86.387	qʰípʰ	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.167	6600	0.011	470	2783	3223	4.70	15.13	16.13	87.275	qʰípʰ	archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.260	5850	0.029	977	1783	3251	8.38	12.14	16.19	91.219	bábkɬʼ	archi-phon-2006-HDK-2-stops	Auto
HDK	u	u	0.101	5090	0.213	468	1103	3146	4.69	9.09	15.96	95.989	gurk-kːí-maj	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.102	6340	0.101	368	2884	3441	3.77	15.37	16.58	96.277	gurk-kːí-maj	archi-phon-2006-HDK-2-stops	Auto
HDK	a	a	0.135	5850	0.087	1105	1835	3374	9.11	12.33	16.45	96.471	gurk-kːí-maj	archi-phon-2006-HDK-2-stops	Auto
HDK	u	u	0.084	4570	0.059	509	1142	2898	5.03	9.30	15.40	97.491	kur-ki-máj	archi-phon-2006-HDK-2-stops	Auto
HDK	i	i	0.096	5600	0.025	348	2591	2954	3.59	14.64	15.53	97.754	kur-ki-máj	archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.134	5790	0.049	1041	1830	3218	8.75	12.31	16.12	97.937	kur-ki-máj	archi-phon-2006-HDK-2-stops	Auto
HDK	áˤ	a	0.217	5350	0.029	1058	1707	3090	8.84	11.85	15.84	102.873	pʰˤáˤrˤ-tʼˤiˤ	archi-phon-2006-HDK-2-stops	Auto
HDK	iˤ	i	0.079	5620	0.044	501	2303	3124	4.97	13.84	15.92	103.283	pʰˤáˤrˤ-tʼˤiˤ	archi-phon-2006-HDK-2-stops	Auto
HDK	áˤ	a	0.270	4350	0.030	936	1616	1865	8.13	11.49	12.43	104.166	pʰˤáˤrˤ-tʼi	archi-phon-2006-HDK-2-stops	Auto
HDK	i	i	0.339	5540	1.573	445	2386	3117	4.48	14.08	15.90	104.650	pʰˤáˤrˤ-tʼi	archi-phon-2006-HDK-2-stops	Auto
HDK	ə	ə	0.092	4850	0.013	646	1894	2982	6.14	12.54	15.60	120.879	kʼə-pʰélʲ	archi-phon-2006-HDK-2-stops	Auto
HDK	é	e	0.182	5910	0.052	599	2253	3132	5.77	13.70	15.93	121.123	kʼə-pʰélʲ	archi-phon-2006-HDK-2-stops	Auto
HDK	e	e	0.115	5910	0.005	701	2165	2943	6.55	13.43	15.51	122.060	kʼe-pʰélʲ	archi-phon-2006-HDK-2-stops	Auto
HDK	é	e	0.155	5470	0.047	664	2086	3119	6.28	13.18	15.90	122.327	kʼe-pʰélʲ	archi-phon-2006-HDK-2-stops	Auto
HDK	i	i	0.101	6340	0.060	555	2582	3257	5.42	14.62	16.20	125.538	qʰi-lín	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.165	6340	0.026	513	2958	3481	5.07	15.54	16.66	125.728	qʰi-lín	archi-phon-2006-HDK-2-stops	Auto
HDK	i	i	0.090	5920	0.008	541	2778	3226	5.30	15.11	16.14	126.790	qʰi-lín	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.134	6600	0.021	535	2871	3406	5.25	15.34	16.51	126.957	qʰi-lín	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.128	5600	0.028	365	2870	3206	3.75	15.34	16.09	129.324	híjtʰ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	ò	o	0.169	5030	0.020	520	1169	3129	5.13	9.45	15.93	129.793	híjtʰ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	í	i	0.163	5680	0.127	368	2875	3398	3.78	15.35	16.49	130.462	híjtʰ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	ò	o	0.182	5070	0.032	537	1136	3113	5.27	9.27	15.89	130.932	híjtʰ-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.238	5850	0.044	1043	1790	3205	8.76	12.16	16.09	133.429	pʼá-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	ò	o	0.183	4950	0.235	562	1054	3217	5.48	8.82	16.12	133.757	pʼá-bòs	archi-phon-2006-HDK-2-stops	Auto
HDK	á	a	0.230	5390	0.009	1012	1790	3157	8.58	12.16	15.99	134.434	pʼá-bòs	archi-phon-2006-HDK-2-stops	Auto
