speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	word	filename	status
PSX	á	a	0.218	5990	0.289	842	1772	2806	7.53	12.10	15.18	98.065	pʰáɴqʼ	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.087	5910	0.052	661	1736	3016	6.26	11.96	15.67	112.621	pártːuqʼ	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.039	5790	0.063	462	1362	3217	4.63	10.40	16.12	112.917	pártːuqʼ	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.060	4650	0.181	404	1182	2308	4.11	9.51	13.86	138.626	kʰupʰár	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.094	5270	0.035	779	1774	2906	7.10	12.10	15.42	138.750	kʰupʰár	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.039	5630	0.025	329	1062	2656	3.41	8.87	14.81	139.043	kʰupʰár	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.106	5330	0.065	778	1689	2771	7.10	11.78	15.10	139.125	kʰupʰár	archi-phon-2006-PSX-2-stops	Auto
PSX	u	u	0.064	5470	0.088	387	1010	2662	3.96	8.57	14.82	139.400	kʰupʰár	archi-phon-2006-PSX-2-stops	Auto
PSX	á	a	0.079	5250	0.081	886	1837	2766	7.81	12.34	15.08	139.539	kʰupʰár	archi-phon-2006-PSX-2-stops	Auto
PSX	í	i	0.145	6640	0.063	384	2468	3148	3.93	14.31	15.97	177.588	qípʰ	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	0.108	6760	0.091	387	2608	3240	3.95	14.68	16.17	178.559	qipʰ	archi-phon-2006-PSX-2-stops	Auto
PSX	áːˤ	a	0.218	5190	0.344	883	1815	2623	7.80	12.26	14.72	188.373	pʰˤáːˤrtʼi	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	0.308	6040	0.240	446	2785	3319	4.49	15.13	16.33	188.848	pʰˤáːˤrtʼi	archi-phon-2006-PSX-2-stops	Auto
PSX	áˤ	a	0.194	5230	0.202	872	1679	2667	7.72	11.74	14.84	189.416	pʰˤáˤrˤtʼi	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	0.204	7100	0.114	396	2853	3985	4.03	15.29	17.59	189.852	pʰˤáˤrˤtʼi	archi-phon-2006-PSX-2-stops	Auto
PSX	əˤ	ə	0.112	4690	0.019	642	1929	2522	6.11	12.66	14.46	201.259	kʼəˤpʰˤéˤlʲi	archi-phon-2006-PSX-2-stops	Auto
PSX	éˤ	e	0.179	6330	0.035	531	2170	3052	5.22	13.44	15.76	201.510	kʼəˤpʰˤéˤlʲi	archi-phon-2006-PSX-2-stops	Auto
PSX	i	i	0.269	6180	0.098	461	2421	3481	4.62	14.18	16.66	201.807	kʼəˤpʰˤéˤlʲi	archi-phon-2006-PSX-2-stops	Auto
