speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename	status
HDK	i	í	43.094	0.113	426	2855	3264	6000	4.31	15.30	16.21	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	44.616	0.105	525	2854	3291	6000	5.17	15.30	16.27	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	57.359	0.148	362	2973	3148	6000	3.72	15.57	15.97	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	58.820	0.152	429	2941	3440	6000	4.34	15.50	16.57	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	86.387	0.180	592	2838	3334	6000	5.72	15.26	16.36	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	87.275	0.167	493	2813	3257	6000	4.90	15.20	16.20	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	96.277	0.102	367	2896	3356	6000	3.77	15.40	16.40	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	125.728	0.165	515	3048	3329	6000	5.08	15.75	16.35	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	126.957	0.134	535	2925	3354	6000	5.25	15.46	16.40	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	129.324	0.128	369	2861	3198	6000	3.78	15.31	16.08	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	130.462	0.163	382	2875	3384	6000	3.90	15.35	16.46	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	185.882	0.226	445	2858	3445	6000	4.47	15.31	16.59	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	187.064	0.215	519	2754	3472	6000	5.12	15.05	16.64	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	200.177	0.204	438	2825	3475	6000	4.41	15.23	16.65	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	201.115	0.117	477	2656	3147	6000	4.76	14.80	15.96	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	202.555	0.110	408	2707	3451	6000	4.15	14.93	16.60	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	207.700	0.213	535	2899	3267	6000	5.24	15.40	16.21	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	223.275	0.172	475	2789	3458	6000	4.72	15.12	16.61	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	224.540	0.130	491	2818	3428	6000	4.88	15.20	16.55	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	361.321	0.300	351	3059	3383	6000	3.61	15.77	16.46	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	362.638	0.276	348	3004	3496	6000	3.59	15.65	16.68	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	445.000	0.103	403	2778	3196	6000	4.10	15.11	16.07	archi-phon-2006-HDK-2-stops	Auto
HDK	i	í	446.516	0.093	490	2725	3241	6000	4.87	14.98	16.17	archi-phon-2006-HDK-2-stops	Auto
