speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename	status
JSP	i	í	4.620	0.236	354	2253	3171	5500	3.64	13.63	15.92	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	5.449	0.179	343	2382	2946	5500	3.54	14.07	15.47	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	8.696	0.293	395	2400	3051	5500	4.02	14.12	15.75	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	9.758	0.205	373	2168	2813	5500	3.82	13.43	15.20	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	14.081	0.270	369	2236	2607	5500	3.79	13.64	14.68	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	14.858	0.209	343	2215	2701	5500	3.54	13.58	14.92	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	íː	29.540	0.178	365	2081	2556	5500	3.75	13.16	14.53	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	íː	31.405	0.183	343	2086	2719	5500	3.54	13.18	14.95	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	íː	37.907	0.176	395	2273	2822	5500	4.02	13.75	15.21	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	íː	39.485	0.136	336	2276	2842	5500	3.47	13.76	15.26	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	íː	42.116	0.208	352	2382	3289	5500	3.63	14.07	16.26	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	íː	42.919	0.141	340	2373	3044	5500	3.51	14.04	15.69	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	íː	79.999	0.156	367	2184	2738	5500	3.77	13.49	15.01	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	íː	81.399	0.141	358	2164	3035	5500	3.68	13.42	15.71	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	165.007	0.144	367	2057	2737	5500	3.76	13.08	15.01	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	165.596	0.114	311	1929	2428	5500	3.23	12.66	14.19	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	167.246	0.153	360	2131	2284	5500	3.70	13.32	13.78	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	167.699	0.137	334	2116	2530	5500	3.45	13.27	14.48	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	185.334	0.127	324	2195	2802	5500	3.36	13.52	15.16	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	185.798	0.119	269	2108	2745	5500	2.82	13.24	15.03	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	202.090	0.220	363	2238	2981	5500	3.72	13.65	15.58	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	203.252	0.173	319	2216	2823	5500	3.30	13.58	15.22	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	368.089	0.113	400	2009	2850	5500	4.07	12.93	15.29	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	375.876	0.121	404	2222	2633	5500	4.11	13.60	14.74	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	376.405	0.079	342	1978	2758	5500	3.53	12.82	15.06	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	380.860	0.185	435	2188	2640	5500	4.39	13.50	14.76	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	455.258	0.250	393	2185	2686	5500	4.01	13.49	14.88	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	456.145	0.321	303	2119	3031	5500	3.16	13.28	15.70	archi-phon-2006-JSP-1-vowels	Auto
JSP	i	í	697.531	0.134	369	1964	2639	5500	3.78	12.78	14.76	archi-phon-2006-JSP-1-vowels	Auto
