speaker	phone	vowel	duration	ceiling	variance	F1	F2	F3	F1Bk	F2Bk	F3Bk	start	word	filename	status
PSX	e	e	0.119	5710	0.025	482	2421	3144	4.80	14.18	15.96	51.526	kʼʲénterʃi	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	0.123	6040	0.122	400	2714	3355	4.07	14.95	16.41	51.841	kʼʲénterʃi	archi-phon-2006-PSX-1-vowels	Auto
PSX	éˤ	e	0.106	5610	0.212	485	2114	2862	4.83	13.27	15.32	59.485		archi-phon-2006-PSX-1-vowels	Auto
PSX	ɪ	ɪ	0.069	6880	0.018	403	2553	3658	4.10	14.54	17.00	59.763	éˤʧːɪkɬàs	archi-phon-2006-PSX-1-vowels	Auto
PSX	à	a	0.111	6110	0.315	574	2119	2943	5.57	13.28	15.51	59.967	éˤʧːɪkɬàs	archi-phon-2006-PSX-1-vowels	Auto
PSX	éˤ	e	0.109	6350	0.096	519	2252	3165	5.12	13.69	16.00	61.153	éˤʧˤʧˤɪɬːàs	archi-phon-2006-PSX-1-vowels	Auto
PSX	ɪ	ɪ	0.070	6980	0.067	446	2600	3598	4.49	14.66	16.89	61.420	éˤʧˤʧˤɪɬːàs	archi-phon-2006-PSX-1-vowels	Auto
PSX	à	a	0.091	5170	0.466	596	2051	2832	5.75	13.07	15.24	61.627	éˤʧˤʧˤɪɬːàs	archi-phon-2006-PSX-1-vowels	Auto
PSX	éˤ	e	0.151	5750	0.484	543	2338	3146	5.32	13.94	15.96	64.062		archi-phon-2006-PSX-1-vowels	Auto
PSX	éˤ	e	0.099	6350	0.070	495	2424	3200	4.92	14.19	16.08	65.756		archi-phon-2006-PSX-1-vowels	Auto
PSX	éˤ	e	0.140	6190	0.024	576	1911	2842	5.59	12.59	15.27	68.692	ʧʼˤéˤn	archi-phon-2006-PSX-1-vowels	Auto
PSX	éˤ	e	0.137	5610	0.064	536	1845	2773	5.26	12.36	15.10	70.385	ʧʼˤéˤn	archi-phon-2006-PSX-1-vowels	Auto
PSX	éː	e	0.284	6590	0.050	438	2353	3139	4.42	13.99	15.95	72.610	béːχutːu	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.039	5130	0.047	438	1567	3078	4.41	11.29	15.81	73.006	béːχutːu	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.144	4990	0.790	454	1494	2910	4.56	10.99	15.43	73.269	béːχutːu	archi-phon-2006-PSX-1-vowels	Auto
PSX	éː	e	0.202	6850	0.036	417	2516	3356	4.23	14.44	16.41	73.840	béːχutːu	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.042	5230	0.055	423	1551	2969	4.29	11.23	15.57	74.160	béːχutːu	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.126	4650	8.258	457	1382	2609	4.59	10.49	14.69	74.401	béːχutːu	archi-phon-2006-PSX-1-vowels	Auto
PSX	íː	i	0.116	5900	0.103	416	2550	3293	4.22	14.53	16.28	77.813	íːkʼʲen#ʔúwlʲi#ʔí	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	0.105	5650	0.053	574	2302	3150	5.58	13.84	15.97	78.126	íːkʼʲen#ʔúwlʲi#ʔí	archi-phon-2006-PSX-1-vowels	Auto
PSX	ú	u	0.100	5370	0.239	412	1008	2639	4.19	8.55	14.76	78.345	íːkʼʲen#ʔúwlʲi#ʔí	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	0.033	6180	0.0006	390	2412	3084	3.98	14.16	15.83	78.613	íːkʼʲen#ʔúwlʲi#ʔí	archi-phon-2006-PSX-1-vowels	Auto
PSX	í	i	0.235	5900	0.121	409	2700	3413	4.16	14.92	16.52	78.694	íːkʼʲen#ʔúwlʲi#ʔí	archi-phon-2006-PSX-1-vowels	Auto
PSX	íː	i	0.092	7040	0.017	417	2651	3297	4.23	14.80	16.29	79.286	íːkʼʲen#ʔúwlʲi#ʔí	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	e	0.071	6550	0.018	496	2285	3089	4.93	13.79	15.84	79.598	íːkʼʲen#ʔúwlʲi#ʔí	archi-phon-2006-PSX-1-vowels	Auto
PSX	ú	u	0.086	5850	0.122	394	1024	2670	4.02	8.65	14.84	79.805	íːkʼʲen#ʔúwlʲi#ʔí	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	0.091	5900	0.020	381	2446	3005	3.90	14.25	15.65	79.998	íːkʼʲen#ʔúwlʲi#ʔí	archi-phon-2006-PSX-1-vowels	Auto
PSX	í	i	0.146	6620	0.364	347	2671	3467	3.57	14.85	16.63	80.115	íːkʼʲen#ʔúwlʲi#ʔí	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.189	4910	0.051	442	1051	2879	4.45	8.81	15.36	87.147	uwéːnnutʰ	archi-phon-2006-PSX-1-vowels	Auto
PSX	éː	e	0.169	6850	0.461	502	2249	3212	4.98	13.68	16.11	87.411	uwéːnnutʰ	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.107	5830	0.067	510	1467	2969	5.04	10.87	15.57	87.738	uwéːnnutʰ	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.166	4950	0.029	391	874	2584	3.99	7.74	14.62	88.605	uwéːnnutʰ	archi-phon-2006-PSX-1-vowels	Auto
PSX	éː	e	0.129	6850	0.291	429	2357	3316	4.33	14.00	16.33	88.852	uwéːnnutʰ	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.067	4870	0.062	450	1724	2864	4.53	11.92	15.32	89.104	uwéːnnutʰ	archi-phon-2006-PSX-1-vowels	Auto
PSX	éːˤ	e	0.182	5410	0.167	543	1978	2694	5.32	12.82	14.90	92.278	wˤéːˤtʼɵ	archi-phon-2006-PSX-1-vowels	Auto
PSX	ɵ	ɵ	0.118	5790	0.915	625	1582	2917	5.98	11.36	15.45	92.525	wˤéːˤtʼɵ	archi-phon-2006-PSX-1-vowels	Auto
PSX	éːˤ	e	0.187	5150	0.109	514	2049	2701	5.08	13.06	14.92	94.238	wˤéːˤtʼu	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.100	4930	0.538	514	1385	2398	5.08	10.50	14.11	94.523	wˤéːˤtʼu	archi-phon-2006-PSX-1-vowels	Auto
PSX	éːˤ	e	0.236	5150	0.063	524	2249	2801	5.16	13.68	15.17	99.159	ɦˤéːˤtʼũˤ	archi-phon-2006-PSX-1-vowels	Auto
PSX	ũˤ	u	0.228	5150	1.711	526	1413	2769	5.18	10.63	15.09	99.486	ɦˤéːˤtʼũˤ	archi-phon-2006-PSX-1-vowels	Auto
PSX	éːˤ	e	0.268	5150	0.048	532	2282	2790	5.23	13.78	15.14	100.194	hˤéːˤtʼu	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.103	5290	0.178	453	1213	2803	4.55	9.68	15.17	100.572	hˤéːˤtʼu	archi-phon-2006-PSX-1-vowels	Auto
PSX	éːˤ	e	0.384	6050	0.184	544	2156	2630	5.33	13.40	14.74	101.135	déːˤtʼuˤ	archi-phon-2006-PSX-1-vowels	Auto
PSX	uˤ	u	0.244	5350	0.698	464	1159	2954	4.64	9.39	15.53	101.630	déːˤtʼuˤ	archi-phon-2006-PSX-1-vowels	Auto
PSX	éːˤ	e	0.256	6350	0.081	474	2345	3077	4.74	13.96	15.81	102.644	déːˤtʼuˤ	archi-phon-2006-PSX-1-vowels	Auto
PSX	uˤ	u	0.198	5070	0.263	452	1150	2740	4.54	9.35	15.02	103.003	déːˤtʼuˤ	archi-phon-2006-PSX-1-vowels	Auto
PSX	éːˤ	e	0.412	5530	0.039	518	2238	2778	5.11	13.65	15.11	103.629	béːˤtʼu	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.293	5470	0.374	443	1113	3068	4.46	9.15	15.79	104.196	béːˤtʼu	archi-phon-2006-PSX-1-vowels	Auto
PSX	éːˤ	e	0.283	6250	0.099	469	2348	3006	4.69	13.97	15.65	104.729	béːˤtʼu	archi-phon-2006-PSX-1-vowels	Auto
PSX	u	u	0.142	5210	0.319	472	1187	2629	4.72	9.54	14.74	105.124	béːˤtʼu	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	0.101	6900	0.261	487	2502	2966	4.84	14.40	15.56	109.238	qʼʷilʲáqʰ	archi-phon-2006-PSX-1-vowels	Auto
PSX	á	a	0.090	6170	0.426	841	1959	2999	7.53	12.76	15.64	109.389	qʼʷilʲáqʰ	archi-phon-2006-PSX-1-vowels	Auto
PSX	á	a	0.089	5150	0.069	920	1814	2842	8.03	12.25	15.27	112.700	áqχʰ	archi-phon-2006-PSX-1-vowels	Auto
