speaker	vowel	phone	time	duration	F1	F2	F3	ceiling	F1Bk	F2Bk	F3Bk	filename	status
PSX	i	i	50.536	0.243	409	2630	3216	5950	4.15	14.74	16.11	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	51.841	0.123	385	2738	3413	5950	3.93	15.01	16.52	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	78.613	0.033	387	2408	3061	5950	3.96	14.14	15.78	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	79.998	0.091	390	2446	3019	5950	3.98	14.25	15.68	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	109.238	0.101	442	2351	2783	5950	4.45	13.98	15.12	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	113.982	0.099	410	2258	2880	5950	4.16	13.69	15.36	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	221.461	0.161	441	2653	3461	5950	4.44	14.80	16.62	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	222.507	0.095	388	2700	3410	5950	3.97	14.92	16.52	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	226.210	0.246	375	2812	3371	5950	3.84	15.19	16.42	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	227.875	0.221	371	2632	3289	5950	3.80	14.74	16.26	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	300.721	0.067	326	2588	3361	5950	3.38	14.63	16.42	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	301.368	0.054	412	2596	3399	5950	4.18	14.65	16.50	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	306.590	0.192	350	2599	3292	5950	3.60	14.62	16.24	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	308.083	0.161	545	2578	3277	5950	5.23	14.60	16.24	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	349.601	0.270	337	2677	3169	5950	3.49	14.86	15.97	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	350.570	0.134	433	2535	3067	5950	4.38	14.49	15.79	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	353.030	0.178	360	2534	3072	5950	3.70	14.48	15.78	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	353.837	0.120	322	2660	3259	5950	3.34	14.82	16.20	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	470.580	0.061	479	2164	3056	5950	4.78	13.42	15.76	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	471.149	0.163	433	2475	2972	5950	4.37	14.31	15.56	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	472.365	0.080	460	2288	3099	5950	4.61	13.80	15.86	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	472.985	0.087	323	2642	3022	5950	3.35	14.77	15.69	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	676.411	0.222	363	2556	3392	5950	3.73	14.52	16.45	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	677.521	0.089	287	2801	3332	5950	3.00	15.17	16.36	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	684.115	0.074	335	2430	2809	5950	3.47	14.20	15.19	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	686.678	0.042	345	2740	3028	5950	3.56	15.02	15.70	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	691.047	0.079	381	2708	3179	5950	3.90	14.94	16.03	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	i	692.479	0.070	382	2655	3077	5950	3.91	14.80	15.81	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	iˤ	24.750	0.100	540	2453	3291	5350	5.29	14.27	16.27	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	iˤ	25.730	0.100	476	2543	3304	5350	4.75	14.51	16.29	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	iˤ	588.269	0.141	411	2588	3264	5350	4.17	14.63	16.21	archi-phon-2006-PSX-1-vowels	Auto
PSX	i	iˤ	589.431	0.127	401	2655	3303	5350	4.08	14.80	16.30	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	41.544	0.118	426	2469	3237	6000	4.31	14.31	16.16	archi-phon-2006-PSX-1-vowels	Auto
PSX	e	é	43.057	0.129	395	2606	3359	6000	4.03	14.68	16.41	archi-phon-2006-PSX-1-vowels	Auto
