file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
archi-phon-2006-HDK-1-vowels_0079,250.4,0.156,í,1,Teal,79,7067,517,2401,3272,515,2816,3391,481,2865,3402,402,2952,3483,417,2879,3387
archi-phon-2006-HDK-1-vowels_0080,281.7,0.186,í,1,Teal,80,6800,485,2241,3273,527,2836,3384,503,2863,3307,520,2905,3308,521,2821,3379
archi-phon-2006-HDK-1-vowels_0081,273.7,0.204,á,3,Purple,81,6400,1030,1803,3190,1073,1840,3246,1079,1817,3259,1063,1732,3092,922,1646,3196
archi-phon-2006-HDK-1-vowels_0082,257.6,0.218,á,3,Purple,82,6533,1023,1731,3160,1032,1776,3217,1055,1857,3163,1025,1725,3154,1050,1750,3246
archi-phon-2006-HDK-1-vowels_0083,274.5,0.256,óˤ,9,Lime,83,5733,607,1160,2815,565,1112,2407,576,1113,2497,578,1119,2238,648,1321,2502
archi-phon-2006-HDK-1-vowels_0084,235,0.262,óˤ,9,Lime,84,5200,566,1047,2157,623,1012,2229,615,1013,2041,665,1187,1936,537,1206,2280
archi-phon-2006-HDK-1-vowels_0085,226.2,0.234,óˤ,9,Lime,85,5600,624,1198,2607,589,1190,2607,594,1200,2736,623,1149,2858,583,1070,2944
archi-phon-2006-HDK-1-vowels_0086,220.3,0.242,óˤ,9,Lime,86,6400,594,1368,2727,613,1182,2706,569,1121,2694,581,1106,2760,591,1061,2865
archi-phon-2006-HDK-1-vowels_0087,317.9,0.328,íː,11,Teal,87,6933,380,3064,3639,346,3070,3592,349,3012,3524,339,3051,3443,330,3017,3655
archi-phon-2006-HDK-1-vowels_0088,304.2,0.312,íː,11,Teal,88,6533,444,3012,3534,339,3064,3595,335,3116,3316,327,3079,3160,389,2925,3576
archi-phon-2006-HDK-1-vowels_0089,264.7,0.318,óː,14,Green,89,5867,547,1129,3127,557,1104,3168,568,1099,3162,612,1066,3177,759,1304,3081
archi-phon-2006-HDK-1-vowels_0090,265.3,0.376,óː,14,Green,90,6933,553,1195,3247,553,1099,3271,554,1095,3273,561,1054,3253,732,1440,3222
archi-phon-2006-HDK-1-vowels_0091,262.8,0.088,ó,4,Green,91,6800,566,1086,3179,581,1113,3149,561,1292,3391,563,1337,3462,585,1647,3525
archi-phon-2006-HDK-1-vowels_0092,233.5,0.384,óː,14,Green,92,6533,547,1028,3246,586,998,3249,510,1089,3187,489,1128,3151,617,1367,3083
archi-phon-2006-HDK-1-vowels_0093,270.1,0.52,óː,14,Green,93,6933,547,1083,3194,553,1106,3241,553,1101,3273,552,1085,3274,538,1048,3324
archi-phon-2006-HDK-1-vowels_0094,244.8,0.428,óː,14,Green,94,6533,520,1009,3116,573,1002,3154,587,1007,3191,574,1002,3213,522,996,3260
