group,label,color
4,í,Teal
5,é,Navy
6,á,Purple
7,ó,Green
8,ú,Olive
9,íˤ,Cyan
10,éˤ,Blue
11,áˤ,Magenta
12,óˤ,Lime
13,úˤ,Maroon
14,íː,Teal
15,éː,Navy
16,áː,Purple
17,óː,Green
18,úː,Olive
19,íːˤ,Cyan
20,éːˤ,Blue
21,áːˤ,Magenta
22,óːˤ,Lime
23,úːˤ,Maroon
