file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
archi-phon-2006-JSP-1-vowels_0091,170.6,0.218,óˤ,9,Lime,91,5967,469,944,1899,490,938,1895,514,943,1908,542,1058,2064,463,1554,2757
archi-phon-2006-JSP-1-vowels_0092,146.4,0.184,óˤ,9,Lime,92,4500,475,889,1808,475,938,1852,471,919,1801,465,1084,1809,454,1254,2280
archi-phon-2006-JSP-1-vowels_0093,201.5,0.334,óˤ,9,Lime,93,4500,490,1069,1770,499,1030,1730,518,1020,1779,572,1011,1770,567,1082,1842
archi-phon-2006-JSP-1-vowels_0094,138.7,0.342,óˤ,9,Lime,94,5300,469,1173,1635,511,1016,1595,513,927,1602,496,947,1809,457,1023,2072
archi-phon-2006-JSP-1-vowels_0095,154.8,0.336,óː,14,Green,95,4633,435,743,2180,449,754,2273,483,816,2294,464,761,2170,347,773,2081
archi-phon-2006-JSP-1-vowels_0096,141.9,0.304,óː,14,Green,96,4500,481,883,2160,450,830,2217,442,809,2208,432,828,2105,363,753,2073
archi-phon-2006-JSP-1-vowels_0097,124.9,0.214,óː,14,Green,97,5167,450,1027,2032,427,654,2080,426,657,2172,425,691,2090,344,726,2096
archi-phon-2006-JSP-1-vowels_0098,144.4,0.25,óː,14,Green,98,4500,466,801,2198,434,785,2217,438,786,2221,453,773,2251,453,771,2286
archi-phon-2006-JSP-1-vowels_0099,177.2,0.198,óː,14,Green,99,5567,511,732,2516,520,822,2401,530,949,2362,521,1115,2368,541,1256,2174
archi-phon-2006-JSP-1-vowels_0100,108.9,0.194,óː,14,Green,100,5167,460,694,2533,464,740,2410,471,809,2336,471,1044,2212,470,1176,2119
archi-phon-2006-JSP-1-vowels_0101,169.3,0.32,óːˤ,19,Lime,101,5033,437,1032,2074,503,973,1999,522,870,1947,532,917,1971,513,1004,2197
archi-phon-2006-JSP-1-vowels_0102,137.9,0.282,óːˤ,19,Lime,102,4900,425,932,2108,455,860,2112,473,845,2057,478,850,2115,482,948,2329
archi-phon-2006-JSP-1-vowels_0103,176.9,0.262,ú,5,Olive,103,5167,369,666,2172,430,703,2115,412,717,2019,418,800,2220,437,739,2443
archi-phon-2006-JSP-1-vowels_0104,138.5,0.224,ú,5,Olive,104,4500,358,677,2079,351,701,2137,367,708,2269,382,701,2270,355,651,2305
archi-phon-2006-JSP-1-vowels_0105,181.1,0.248,í,1,Teal,105,5167,360,2066,2704,383,2144,2713,398,2159,2713,399,2211,2751,391,2261,2810
archi-phon-2006-JSP-1-vowels_0106,125.4,0.32,í,1,Teal,106,4633,277,1779,2357,284,1903,2505,340,1995,2528,367,2018,2472,398,1982,2513
archi-phon-2006-JSP-1-vowels_0107,138.4,0.134,ú,5,Olive,107,5433,417,842,2216,395,763,2202,359,746,2150,371,694,2147,383,975,2068
archi-phon-2006-JSP-1-vowels_0108,139.4,0.142,ú,5,Olive,108,4900,381,718,2030,319,714,2026,307,732,2085,349,828,2065,347,1059,1942
archi-phon-2006-JSP-1-vowels_0109,172.7,0.188,ú,5,Olive,109,4767,341,851,2023,353,817,1987,355,907,2079,382,973,2200,385,1043,2056
archi-phon-2006-JSP-1-vowels_0110,140.6,0.18,ú,5,Olive,110,5167,321,829,1929,348,834,2005,395,851,2029,406,920,2092,400,1030,1984
archi-phon-2006-JSP-1-vowels_0111,151.7,0.252,á,3,Purple,111,4900,548,1319,2197,618,1325,2328,631,1414,2511,577,1445,2331,553,1447,2328
archi-phon-2006-JSP-1-vowels_0112,131,0.2,á,3,Purple,112,6100,519,1546,2234,599,1436,2375,635,1374,2539,511,1570,2517,497,1499,2347
archi-phon-2006-JSP-1-vowels_0113,165.5,0.252,úˤ,10,Maroon,113,4767,412,998,1744,426,887,1702,372,797,1742,384,936,1772,475,1183,1717
archi-phon-2006-JSP-1-vowels_0114,164.7,0.16,úˤ,10,Maroon,114,4633,421,1009,1701,449,949,1683,376,806,1701,373,817,1757,380,1025,1793
archi-phon-2006-JSP-1-vowels_0115,162.7,0.276,úː,15,Olive,115,5167,458,705,2154,495,697,2200,380,694,2314,442,714,2299,353,1096,2132
archi-phon-2006-JSP-1-vowels_0116,128.6,0.226,úː,15,Olive,116,4633,390,684,2120,405,727,2219,361,712,2170,324,908,2113,325,1525,1993
archi-phon-2006-JSP-1-vowels_0117,187.4,0.31,úː,15,Olive,117,5167,381,786,2262,425,881,2445,408,883,2411,379,1005,2303,367,1201,2378
archi-phon-2006-JSP-1-vowels_0118,133.3,0.29,úː,15,Olive,118,4900,383,669,2312,365,662,2377,365,790,2274,327,844,2111,274,1142,2118
archi-phon-2006-JSP-1-vowels_0119,178.7,0.358,é,2,Navy,119,5567,478,1559,2666,476,1750,2675,471,1832,2538,533,1824,2611,516,1760,2457
archi-phon-2006-JSP-1-vowels_0120,124.6,0.372,é,2,Navy,120,5567,420,1615,2568,430,1751,2745,424,1816,2601,465,1812,2490,438,1839,2376
archi-phon-2006-JSP-1-vowels_0121,210.9,0.148,úˤ,10,Maroon,121,4500,429,932,1688,408,992,1746,439,1006,1787,456,1091,1891,463,1157,1924
archi-phon-2006-JSP-1-vowels_0122,140.7,0.2,úˤ,10,Maroon,122,5033,428,1011,1597,429,983,1614,464,979,1747,464,999,1887,462,1028,1901
archi-phon-2006-JSP-1-vowels_0123,167.5,0.072,úˤ,10,Maroon,123,5033,365,1019,1785,362,1048,1755,361,1111,2004,349,1137,2226,361,1103,2066
archi-phon-2006-JSP-1-vowels_0124,163.2,0.132,á,3,Purple,124,6500,548,1770,2666,662,1640,2594,657,1593,2733,647,1728,2641,601,1805,2600
archi-phon-2006-JSP-1-vowels_0125,164.9,0.106,úˤ,10,Maroon,125,4900,432,1015,1607,375,1013,1569,362,1028,1655,378,1007,1749,435,1007,1836
archi-phon-2006-JSP-1-vowels_0126,161,0.126,é,2,Navy,126,4767,456,1960,2484,490,2047,2473,385,2102,2454,337,2207,2414,332,2160,2512
archi-phon-2006-JSP-1-vowels_0127,152.2,0.062,úˤ,10,Maroon,127,5433,434,966,1699,463,972,1753,458,950,1771,485,979,1932,537,1088,1927
archi-phon-2006-JSP-1-vowels_0128,246.9,0.14,úˤ,10,Maroon,128,4500,397,996,1791,459,1022,1719,501,1001,1772,554,1122,1870,558,1181,1795
archi-phon-2006-JSP-1-vowels_0129,161.1,0.088,úˤ,10,Maroon,129,4767,340,1127,1644,342,1100,1702,344,1161,1836,372,1231,1782,389,1103,1701
archi-phon-2006-JSP-1-vowels_0130,200.4,0.18,ó,4,Green,130,5567,351,1202,2159,467,1012,2424,496,1011,2551,490,1085,2604,459,1135,2498
archi-phon-2006-JSP-1-vowels_0131,140,0.154,ó,4,Green,131,4500,425,1505,2145,470,1154,2208,487,1035,2161,460,990,1981,423,991,1930
archi-phon-2006-JSP-1-vowels_0132,179.2,0.176,ó,4,Green,132,5567,474,1338,2238,498,1050,2313,507,982,2357,544,1155,2294,532,1249,2222
